time      	close   	Volume
   
2017-05-10	1785.71 	NaN
   
2017-05-11	1834.13 	NaN
   
2017-05-12	1694.99 	NaN
   
2017-05-13	1783.72 	NaN
   
2017-05-14	1791.51 	NaN
   
2017-05-15	1733.93 	NaN
   
2017-05-16	1758.61 	NaN
   
2017-05-17	1811.21 	NaN
   
2017-05-18	1893.42 	NaN
   
2017-05-19	1965.26 	NaN
   
2017-05-20	2039.82 	NaN
   
2017-05-21	2027.91 	NaN
   
2017-05-22	2102.65 	NaN
   
2017-05-23	2257.54 	NaN
   
2017-05-24	2426.00 	NaN
   
2017-05-25	2309.39 	NaN
   
2017-05-26	2255.90 	NaN
   
2017-05-27	2061.69 	NaN
   
2017-05-28	2194.89 	NaN
   
2017-05-29	2275.29 	NaN
   
2017-05-30	2187.88 	NaN
   
2017-05-31	2299.06 	NaN
   
2017-06-01	2411.24 	NaN
   
2017-06-02	2484.79 	NaN
   
2017-06-03	2548.40 	NaN
   
2017-06-04	2523.06 	NaN
   
2017-06-05	2693.86 	NaN
   
2017-06-06	2874.82 	NaN
   
2017-06-07	2687.17 	NaN
   
2017-06-08	2804.34 	NaN
   
2017-06-09	2814.30 	NaN
   
2017-06-10	2887.79 	NaN
   
2017-06-11	2959.52 	NaN
   
2017-06-12	2647.13 	NaN
   
2017-06-13	2709.52 	NaN
   
2017-06-14	2448.61 	NaN
   
2017-06-15	2419.94 	NaN
   
2017-06-16	2480.01 	NaN
   
2017-06-17	2636.36 	NaN
   
2017-06-18	2512.47 	NaN
   
2017-06-19	2593.71 	NaN
   
2017-06-20	2726.08 	NaN
   
2017-06-21	2647.61 	NaN
   
2017-06-22	2692.01 	NaN
   
2017-06-23	2682.11 	NaN
   
2017-06-24	2563.22 	NaN
   
2017-06-25	2498.22 	NaN
   
2017-06-26	2412.44 	NaN
   
2017-06-27	2562.35 	NaN
   
2017-06-28	2555.50 	NaN
   
2017-06-29	2536.89 	NaN
   
2017-06-30	2455.42 	NaN
   
2017-07-01	2411.28 	NaN
   
2017-07-02	2508.61 	NaN
   
2017-07-03	2545.14 	NaN
   
2017-07-04	2600.96 	NaN
   
2017-07-05	2614.08 	NaN
   
2017-07-06	2604.10 	NaN
   
2017-07-07	2500.83 	NaN
   
2017-07-08	2551.70 	NaN
   
2017-07-09	2502.82 	NaN
   
2017-07-10	2330.78 	NaN
   
2017-07-11	2305.81 	NaN
   
2017-07-12	2382.27 	NaN
   
2017-07-13	2339.97 	NaN
   
2017-07-14	2214.95 	NaN
   
2017-07-15	1968.56 	NaN
   
2017-07-16	1910.16 	NaN
   
2017-07-17	2226.82 	NaN
   
2017-07-18	2306.76 	NaN
   
2017-07-19	2260.87 	NaN
   
2017-07-20	2873.34 	NaN
   
2017-07-21	2664.86 	NaN
   
2017-07-22	2831.79 	NaN
   
2017-07-23	2756.49 	NaN
   
2017-07-24	2759.16 	NaN
   
2017-07-25	2560.77 	NaN
   
2017-07-26	2525.12 	NaN
   
2017-07-27	2667.43 	NaN
   
2017-07-28	2787.32 	NaN
   
2017-07-29	2700.73 	NaN
   
2017-07-30	2753.84 	NaN
   
2017-07-31	2865.02 	NaN
   
2017-08-01	2730.15 	NaN
   
2017-08-02	2701.91 	NaN
   
2017-08-03	2790.21 	NaN
   
2017-08-04	2858.32 	NaN
   
2017-08-05	3253.94 	NaN
   
2017-08-06	3224.68 	NaN
   
2017-08-07	3393.07 	NaN
   
2017-08-08	3421.62 	NaN
