time      	close	Volume
2017-10-31	16.69	0.00   
2017-11-01	17.11	0.00   
2017-11-02	17.09	0.00   
2017-11-03	16.82	0.00   
2017-11-06	17.20	0.00   
2017-11-07	16.91	0.00   
2017-11-08	17.00	0.00   
2017-11-09	16.98	0.00   
2017-11-10	16.86	0.00   
2017-11-13	17.04	0.00   
2017-11-14	17.00	0.00   
2017-11-15	16.96	0.00   
2017-11-16	17.04	0.00   
2017-11-17	17.27	0.00   
2017-11-20	16.89	0.00   
2017-11-21	16.93	0.00   
2017-11-22	17.12	0.00   
2017-11-23	17.08	0.00   
2017-11-24	17.02	0.00   
2017-11-27	17.02	0.00   
2017-11-28	16.83	0.00   
2017-11-29	16.52	0.00   
2017-11-30	16.40	0.00   
2017-12-01	16.41	0.00   
2017-12-04	16.28	0.00   
2017-12-05	16.06	0.00   
2017-12-06	15.94	0.00   
2017-12-07	15.70	0.00   
2017-12-08	15.83	0.00   
2017-12-11	15.68	0.00   
2017-12-12	15.70	0.00   
2017-12-13	16.04	0.00   
2017-12-14	15.87	0.00   
2017-12-15	16.02	0.00   
2017-12-18	16.12	0.00   
2017-12-19	16.11	0.00   
2017-12-20	16.16	0.00   
2017-12-21	16.10	0.00   
2017-12-22	16.36	0.00   
2017-12-25	16.37	0.00   
2017-12-26	16.52	0.00   
2017-12-27	16.66	0.00   
2017-12-28	16.83	0.00   
2017-12-29	16.90	0.00   
2018-01-01	16.92	0.00   
2018-01-02	17.15	0.00   
2018-01-03	17.09	0.00   
2018-01-04	17.20	0.00   
2018-01-05	17.18	0.00   
2018-01-08	17.09	0.00   
2018-01-09	16.94	0.00   
2018-01-10	16.96	0.00   
2018-01-11	16.96	0.00   
2018-01-12	17.20	0.00   
2018-01-15	17.34	0.00   
2018-01-16	17.16	0.00   
2018-01-17	16.96	0.00   
2018-01-18	16.93	0.00   
2018-01-19	17.00	0.00   
2018-01-22	16.98	0.00   
2018-01-23	17.03	0.00   
2018-01-24	17.54	0.00   
2018-01-25	17.26	0.00   
2018-01-26	17.37	0.00   
2018-01-29	17.14	0.00   
2018-01-30	17.10	0.00   
2018-01-31	17.30	0.00   
2018-02-01	17.20	0.00   
2018-02-02	16.56	0.00   
2018-02-05	16.69	0.00   
2018-02-06	16.61	0.00   
2018-02-07	16.35	0.00   
2018-02-08	16.39	0.00   
2018-02-09	16.32	0.00   
2018-02-12	16.52	0.00   
2018-02-13	16.54	0.00   
2018-02-14	16.83	0.00   
2018-02-15	16.83	0.00   
2018-02-16	16.63	0.00   
2018-02-19	16.66	0.00   
2018-02-20	16.41	0.00   
2018-02-21	16.48	0.00   
2018-02-22	16.59	0.00   
2018-02-23	16.50	0.00   
2018-02-26	16.62	0.00   
2018-02-27	16.39	0.00   
2018-02-28	16.39	0.00   
2018-03-01	16.44	0.00   
2018-03-02	16.46	0.00   
2018-03-05	16.39	0.00   
2018-03-06	16.71	0.00   
2018-03-07	16.48	0.00   
2018-03-08	16.45	0.00   
2018-03-09	16.54	0.00   
2018-03-12	16.52	0.00   
2018-03-13	16.56	0.00   
2018-03-14	16.50	0.00   
2018-03-15	16.36	0.00   
2018-03-16	16.33	0.00   
2018-03-19	16.29	0.00   
